file,tier,seed,hit_step,max_tcp_all,max_tcp_out_window,max_tcp_in_window
softmin_only_seed034,softmin_only,34,-1,0.9800247395741635,nan,nan
softmin_only_seed035,softmin_only,35,-1,0.9783307744501627,nan,nan
softmin_only_seed036,softmin_only,36,222,0.9880972693565023,0.9880972693565023,0.9822233692168365
softmin_only_seed037,softmin_only,37,223,0.9995024584485412,0.9457289702128033,0.9995024584485412
softmin_only_seed038,softmin_only,38,222,0.9942461476014627,0.9942461476014627,0.9801891215343174
softmin_only_seed039,softmin_only,39,-1,0.9918636952492519,nan,nan
softmin_only_seed040,softmin_only,40,225,0.99170321088671,0.99170321088671,0.9894558958559818
softmin_only_seed041,softmin_only,41,-1,0.2803397835035341,nan,nan
softmin_only_seed042,softmin_only,42,-1,0.9809965812077652,nan,nan
softmin_only_seed043,softmin_only,43,-1,0.9936280396669595,nan,nan
softmin_only_seed044,softmin_only,44,-1,0.9888285648734175,nan,nan
softmin_only_seed045,softmin_only,45,-1,0.9892048239360174,nan,nan
softmin_only_seed046,softmin_only,46,219,0.994428926696069,0.994428926696069,0.9923038021983693
softmin_only_seed047,softmin_only,47,223,0.9930673306258745,0.9565430899941814,0.9930673306258745
softmin_only_seed048,softmin_only,48,-1,0.991497933357518,nan,nan
softmin_only_seed049,softmin_only,49,-1,0.9992685200907823,nan,nan
softmin_only_seed050,softmin_only,50,-1,0.9771641194137419,nan,nan
tube_only_seed001,tube_only,1,-1,0.9881892629302462,nan,nan
tube_only_seed002,tube_only,2,221,0.9897672204317377,0.9897672204317377,0.9863379651259966
tube_only_seed003,tube_only,3,226,0.953077653516145,0.9094305333451496,0.8975771493215007
tube_only_seed004,tube_only,4,221,0.9933962619652774,0.9933962619652774,0.9891609737564404
tube_only_seed005,tube_only,5,-1,0.9759940968160324,nan,nan
tube_only_seed006,tube_only,6,-1,0.9973688865130624,nan,nan
tube_only_seed007,tube_only,7,223,0.9751014976388196,0.7633960121349207,0.9751014976388196
tube_only_seed008,tube_only,8,223,0.9921317459564732,0.9921317459564732,0.9786457562959379
tube_only_seed009,tube_only,9,-1,0.9924080531647776,nan,nan
tube_only_seed010,tube_only,10,222,0.9995591707412355,0.9739195583844757,0.7640537146129281
tube_only_seed011,tube_only,11,-1,0.9903658611267288,nan,nan
tube_only_seed012,tube_only,12,224,0.9872384983694773,0.966379658331706,0.9872384983694773
tube_only_seed013,tube_only,13,-1,0.9429000939151777,nan,nan
tube_only_seed014,tube_only,14,-1,0.9882067462701,nan,nan
tube_only_seed015,tube_only,15,225,0.9908727379596702,0.9908727379596702,0.9794949642926365
tube_only_seed016,tube_only,16,-1,0.9752797170395655,nan,nan
tube_only_seed017,tube_only,17,-1,0.99351944897626,nan,nan
tube_only_seed018,tube_only,18,225,0.99052843189365,0.989623948253942,0.99052843189365
tube_only_seed019,tube_only,19,223,0.9918705397965004,0.9918705397965004,0.9125119520685908
tube_only_seed022,tube_only,22,241,0.9759094141606156,0.8542948988765358,0.9668902591150411
tube_only_seed023,tube_only,23,-1,0.9787735412924942,nan,nan
tube_only_seed024,tube_only,24,222,0.9909939216681911,0.9909939216681911,0.9888334154358165
tube_only_seed025,tube_only,25,-1,0.9891140608567028,nan,nan
tube_only_seed026,tube_only,26,225,0.9689268466668594,0.9444851500098905,0.9689268466668594
tube_only_seed028,tube_only,28,220,0.9839909171626179,0.9839909171626179,0.9762774018965586
tube_only_seed029,tube_only,29,-1,0.19440947006602557,nan,nan
tube_only_seed030,tube_only,30,-1,0.9881208664090286,nan,nan
tube_only_seed031,tube_only,31,-1,0.39259359940418576,nan,nan
tube_only_seed032,tube_only,32,226,0.9907068150405066,0.9907068150405066,0.9742855656921394
tube_only_seed033,tube_only,33,-1,0.2952484679264629,nan,nan
tube_only_seed034,tube_only,34,220,0.9456818632225422,0.8726531448968332,0.9270116692767284
tube_only_seed035,tube_only,35,-1,0.9800849979911344,nan,nan
tube_only_seed036,tube_only,36,223,0.9880972693565023,0.9880972693565023,0.9792802325759953
tube_only_seed037,tube_only,37,225,0.9322717075014685,0.8164472090168039,0.8153689820113715
tube_only_seed038,tube_only,38,224,0.9942461476014627,0.9942461476014627,0.9858645151680073
tube_only_seed039,tube_only,39,237,0.9942514466491844,0.8467950348952927,0.9942514466491844
tube_only_seed040,tube_only,40,225,0.9897597557039811,0.9897597557039811,0.9756861856051775
tube_only_seed041,tube_only,41,-1,0.2803397835035341,nan,nan
tube_only_seed042,tube_only,42,-1,0.984746205456053,nan,nan
tube_only_seed043,tube_only,43,-1,0.9825591147973533,nan,nan
tube_only_seed044,tube_only,44,-1,0.9857224717027152,nan,nan
tube_only_seed045,tube_only,45,-1,0.9892048239360174,nan,nan
tube_only_seed046,tube_only,46,-1,0.9886303732569515,nan,nan
tube_only_seed047,tube_only,47,224,0.982583186320603,0.9210239407528664,0.982583186320603
tube_only_seed048,tube_only,48,224,0.9946059395877921,0.991497933357518,0.9946059395877921
tube_only_seed049,tube_only,49,229,0.9992685200907823,0.9992685200907823,0.9593879745407273
tube_only_seed050,tube_only,50,-1,0.9919561856832277,nan,nan
